7000001111,0
6556656667,0
4454455656,0
234344444445556,0
456566666667000,0
443444444555666,0
6001111101,1
4545545660,1
100100,1
444546600000100,1
444454445444660,1
6666670022,2
2233445454,2
4444322222,2
222222234444454,2
466666656666600,2
1111176666,3
6666702222,3
2223444434,3
334455666666666,3
4445444666,4
5454660110,4
1176666600,4
444445444444660,4
446000007666600,4
4554544460,5
2444432100,5
6660011010,5
334444555666667,5
1222344455,6
1000010,6
4666670000,6
666770000001011,6
444565666667000,6
5444544546,7
6601001001,7
544545466001010,7
222222222224445,7
222244444554545,7
5444456660,8
11107000,8
555544444566666,8
534444566666700,8
344446666670000,8
4444445554,9
6000007660,9
444544444444460,9
76666700000,9
